Elapsed,Well,Area,DaysSinceSeeding,Radius,Condition,CellLine
146,F7,548548.2,6.083333333333333,417.86159803016506,M100:F0,1205LU
152,F7,561635.7,6.333333333333333,422.816976650363,M100:F0,1205LU
158,F7,574173.8,6.583333333333333,427.51046411487357,M100:F0,1205LU
164,F7,582402.0,6.833333333333333,430.5627879104418,M100:F0,1205LU
170,F7,588553.4,7.083333333333333,432.83064328566553,M100:F0,1205LU
176,F7,604910.8,7.333333333333333,438.8041566568687,M100:F0,1205LU
182,F7,620435.6,7.583333333333333,444.39935330777865,M100:F0,1205LU
188,F7,634943.7,7.833333333333333,449.5651864636706,M100:F0,1205LU
194,F7,646749.8,8.083333333333334,453.72552851629297,M100:F0,1205LU
200,F7,657096.6,8.333333333333334,457.3405120451892,M100:F0,1205LU
206,F7,672557.9,8.583333333333334,462.689775768829,M100:F0,1205LU
212,F7,690568.1,8.833333333333334,468.8439541181656,M100:F0,1205LU
218,F7,700953.6,9.083333333333334,472.3562856955736,M100:F0,1205LU
224,F7,722362.1,9.333333333333334,479.5153781001022,M100:F0,1205LU
230,F7,725017.7,9.583333333333334,480.39598413000255,M100:F0,1205LU
236,F7,718138.9,9.833333333333334,478.11160990207367,M100:F0,1205LU
4,G7,912421.9,0.16666666666666666,538.918278721921,M100:F0,1205LU
8,G7,750491.6,0.3333333333333333,488.7626170012299,M100:F0,1205LU
12,G7,572168.1,0.5,426.763122573865,M100:F0,1205LU
16,G7,456699.2,0.6666666666666666,381.2766323448478,M100:F0,1205LU
20,G7,378651.1,0.8333333333333334,347.17198698104534,M100:F0,1205LU
24,G7,342304.3,1.0,330.08914367670764,M100:F0,1205LU
28,G7,320228.8,1.1666666666666667,319.2679014257022,M100:F0,1205LU
32,G7,302732.4,1.3333333333333333,310.42344593819877,M100:F0,1205LU
36,G7,287021.9,1.5,302.26132455419327,M100:F0,1205LU
40,G7,287597.6,1.6666666666666667,302.5643060949711,M100:F0,1205LU
44,G7,289688.3,1.8333333333333333,303.66206513454364,M100:F0,1205LU
48,G7,290146.3,2.0,303.9020166593963,M100:F0,1205LU
52,G7,297046.8,2.1666666666666665,307.4946066181637,M100:F0,1205LU
56,G7,306079.7,2.3333333333333335,312.134897872969,M100:F0,1205LU
64,G7,323619.4,2.6666666666666665,320.95366391562914,M100:F0,1205LU
68,G7,324004.8,2.8333333333333335,321.14471973084324,M100:F0,1205LU
74,G7,331751.7,3.0833333333333335,324.9612990315602,M100:F0,1205LU
80,G7,351889.7,3.3333333333333335,334.67890635092056,M100:F0,1205LU
86,G7,365102.5,3.5833333333333335,340.904290410692,M100:F0,1205LU
92,G7,387538.6,3.8333333333333335,351.2226753184162,M100:F0,1205LU
98,G7,405200.5,4.083333333333333,359.13691683898924,M100:F0,1205LU
104,G7,428859.2,4.333333333333333,369.4727637335011,M100:F0,1205LU
110,G7,447686.4,4.583333333333333,377.49570465110065,M100:F0,1205LU
116,G7,461409.9,4.833333333333333,383.2379583927905,M100:F0,1205LU
122,G7,472734.7,5.083333333333333,387.91252693375145,M100:F0,1205LU
128,G7,487170.1,5.333333333333333,393.79062848567884,M100:F0,1205LU
134,G7,486114.7,5.583333333333333,393.3638453509264,M100:F0,1205LU
140,G7,513095.8,5.833333333333333,404.1329802173797,M100:F0,1205LU
146,G7,526975.6,6.083333333333333,409.56262434166865,M100:F0,1205LU
152,G7,539198.1,6.333333333333333,414.28502970963865,M100:F0,1205LU
158,G7,554622.3,6.583333333333333,420.1687294266343,M100:F0,1205LU
164,G7,568367.4,6.833333333333333,425.34334649148684,M100:F0,1205LU
170,G7,581393.0,7.083333333333333,430.1896554521652,M100:F0,1205LU
176,G7,597259.8,7.333333333333333,436.0202965002359,M100:F0,1205LU
182,G7,611758.6,7.583333333333333,441.28087465689595,M100:F0,1205LU
188,G7,633626.8,7.833333333333333,449.0987359044774,M100:F0,1205LU
194,G7,646517.7,8.083333333333334,453.64410665499236,M100:F0,1205LU
200,G7,663679.8,8.333333333333334,459.62576255088334,M100:F0,1205LU
206,G7,678047.1,8.583333333333334,464.5741009012979,M100:F0,1205LU
212,G7,698004.0,8.833333333333334,471.3614046523438,M100:F0,1205LU
218,G7,705907.3,9.083333333333334,474.0224386242776,M100:F0,1205LU
224,G7,728736.4,9.333333333333334,481.62641179859037,M100:F0,1205LU
230,G7,740777.7,9.583333333333334,485.5891940462537,M100:F0,1205LU
236,G7,731512.6,9.833333333333334,482.5429436309361,M100:F0,1205LU
4,H7,971485.0,0.16666666666666666,556.0874749347083,M100:F0,1205LU
8,H7,803488.3,0.3333333333333333,505.72548810892204,M100:F0,1205LU
12,H7,617374.6,0.5,443.3017467355202,M100:F0,1205LU
16,H7,475251.0,0.6666666666666666,388.94355852582606,M100:F0,1205LU
20,H7,389576.7,0.8333333333333334,352.1450198950097,M100:F0,1205LU
24,H7,353629.1,1.0,335.50504999519205,M100:F0,1205LU
28,H7,339049.8,1.1666666666666667,328.5162145901432,M100:F0,1205LU
32,H7,315662.0,1.3333333333333333,316.98317824854325,M100:F0,1205LU
40,H7,286543.7,1.6666666666666667,302.00942457758214,M100:F0,1205LU
44,H7,285737.4,1.8333333333333333,301.584215887457,M100:F0,1205LU
48,H7,281299.1,2.0,299.2328265825839,M100:F0,1205LU
52,H7,280468.1,2.1666666666666665,298.7905102060372,M100:F0,1205LU
56,H7,276263.5,2.3333333333333335,296.5424139001631,M100:F0,1205LU
64,H7,285633.8,2.6666666666666665,301.52953813555916,M100:F0,1205LU
68,H7,293844.9,2.8333333333333335,305.83285741510406,M100:F0,1205LU
74,H7,308744.6,3.0833333333333335,313.4907629992628,M100:F0,1205LU
80,H7,321997.6,3.3333333333333335,320.14843339840627,M100:F0,1205LU
86,H7,335772.2,3.5833333333333335,326.9244725707774,M100:F0,1205LU
92,H7,355269.5,3.8333333333333335,336.2823131084539,M100:F0,1205LU
98,H7,372057.1,4.083333333333333,344.13580626675747,M100:F0,1205LU
104,H7,395825.6,4.333333333333333,354.958028060545,M100:F0,1205LU
110,H7,409371.1,4.583333333333333,360.9804264055507,M100:F0,1205LU
116,H7,422562.3,4.833333333333333,366.75026601021136,M100:F0,1205LU
122,H7,438085.5,5.083333333333333,373.42595737812474,M100:F0,1205LU
128,H7,455818.7,5.333333333333333,380.90891105019244,M100:F0,1205LU
134,H7,456312.3,5.583333333333333,381.11509584017233,M100:F0,1205LU
140,H7,480788.1,5.833333333333333,391.20276761485337,M100:F0,1205LU
146,H7,497229.0,6.083333333333333,397.8352754561617,M100:F0,1205LU
152,H7,511997.1,6.333333333333333,403.70006022718263,M100:F0,1205LU
158,H7,526608.9,6.583333333333333,409.4201009017159,M100:F0,1205LU
164,H7,545038.4,6.833333333333333,416.5226417252673,M100:F0,1205LU
170,H7,557568.8,7.083333333333333,421.28335033280484,M100:F0,1205LU
176,H7,572632.4,7.333333333333333,426.93624122244637,M100:F0,1205LU
182,H7,589980.3,7.583333333333333,433.3550070596608,M100:F0,1205LU
188,H7,604825.7,7.833333333333333,438.7732896702254,M100:F0,1205LU
194,H7,618284.6,8.083333333333334,443.6283361725111,M100:F0,1205LU
200,H7,631796.0,8.333333333333334,448.4494540651981,M100:F0,1205LU
206,H7,646920.0,8.583333333333334,453.785226257993,M100:F0,1205LU
212,H7,662226.6,8.833333333333334,459.1222861873279,M100:F0,1205LU
218,H7,677014.8,9.083333333333334,464.22031831097377,M100:F0,1205LU
224,H7,692075.4,9.333333333333334,469.35534705018694,M100:F0,1205LU
230,H7,710215.6,9.583333333333334,475.46676729499467,M100:F0,1205LU
236,H7,705229.4,9.833333333333334,473.7947762982017,M100:F0,1205LU
4,A8,1.132043e6,0.16666666666666666,600.2836650160963,M100:F0,1205LU
8,A8,921012.3,0.3333333333333333,541.4492777600422,M100:F0,1205LU
12,A8,683842.6,0.5,466.5553130911998,M100:F0,1205LU
16,A8,496993.8,0.6666666666666666,397.74117201020266,M100:F0,1205LU
20,A8,412108.7,0.8333333333333334,362.1854130032709,M100:F0,1205LU
24,A8,376438.2,1.0,346.15603504378055,M100:F0,1205LU
28,A8,348958.7,1.1666666666666667,333.282168859727,M100:F0,1205LU
32,A8,323848.4,1.3333333333333333,321.0672006680264,M100:F0,1205LU
36,A8,311544.0,1.5,314.90877279180853,M100:F0,1205LU
40,A8,297308.3,1.6666666666666667,307.62992561598475,M100:F0,1205LU
44,A8,295064.4,1.8333333333333333,306.46682623228327,M100:F0,1205LU
48,A8,288544.7,2.0,303.0620903642289,M100:F0,1205LU
52,A8,287232.3,2.1666666666666665,302.3720898517395,M100:F0,1205LU
56,A8,288023.1,2.3333333333333335,302.78804497420725,M100:F0,1205LU
64,A8,295541.0,2.6666666666666665,306.7142351972658,M100:F0,1205LU
68,A8,307551.4,2.8333333333333335,312.88440537947156,M100:F0,1205LU
